ID,SKU,Nombre,"¿En stock?",Stock,Oferta,"Precio normal",Img,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3"
68842,,"Producto Prueba 2",1,,,17490,,Color,Azul,,1,Tamaño,,,1,,,,
698,,"¡COMBO YA! Sello + etiquetas para escribir",1,294,,38999,https://etiquecosas.ar/wp-content/uploads/2020/01/neutro.jpg,"Etiqueta","sin dibujo",,0,,,,,,,,
713,,"Combo COLONIA",1,,,40899,https://etiquecosas.ar/wp-content/uploads/2020/01/neutro.jpg,"Etiqueta",,,0,"Seleccionar TAG",,,0,,,,
790,,"Etiquetas linea ""escribí vos"" - para objetos y utiles",1,,,5296,https://etiquecosas.ar/wp-content/uploads/2020/01/neutro.jpg,"Etiqueta","sin dibujo",,0,,,,,,,,
870,,"Etiquetas para alergias PERSONALIZADAS",1,,,10890,,"Seleccionar ICONO","SIN TACC",,0,"color",ROJO,,0,,,,
1056,,"Tarjetas mes a mes - MI PRIMER AÑO",0,,,8249,https://etiquecosas.ar/wp-content/uploads/2020/01/tarjetones-2.jpg,"Modelo combo",Rosas,,0,,,,,,,,
1318,,Contacto,1,,,185,,,,,,,,,,,,,
1326,,"Etiquetas para frascos chicos CHAPLIN",1,,,3168,https://etiquecosas.ar/wp-content/uploads/2020/06/MODELO-1.jpg,"Modelo","MODELO 1",,0,,,,,,,,
1406,,"Etiquetas rotuladoras - PERSONALIZADAS",1,,,9900,,"color",BLANCO,,0,,,,,,,,
1412,,"Etiquetas para frascos personalizadas - VOS ELEGIS LO QUE DICEN",1,,,9900,https://etiquecosas.ar/wp-content/uploads/2020/06/chaplin-grande2.jpg,"Modelo","CHAPLIN grande (10 u.)",,0,,,,,,,,
1458,,"Etiquetas COMBINADAS - 2 tamaños",1,,,10890,,"SELECCIONAR COMBINACION","MAXI - SPOT",,0,,,,,,,,
1563,,"TAGS colgantes de cartón",1,,,7880,,"Cantidad","20 Tags",,0,,,,,,,,
1583,,"Etiquetas PARA COSER 6 x 1 cm",1,,,15999,,"Cantidad","24 unidades",,0,,,,,,,,
1587,,"Etiquetas PARA PLANCHAR 6 x 1 cm",1,,,18999,,"Cantidad","24 unidades",,0,,,,,,,,
1589,,"Etiquetas TERMOADHESIVAS 6 x 2,5 cm",1,,,15999,,"Cantidad","12 unidades",,0,,,,,,,,
1600,,"Etiquetas autoadhesivas con tu MARCA. Medidas a elección",1,,,9500,,"SELECCIONAR MEDIDA","3 cm (88 etiquetas)",,0,,,,,,,,
1608,,"Etiquetas de tela PARA COSER",1,,,15999,,"Cantidad","24 etiquetas",,0,,,,,,,,
1610,,"Etiquetas de tela PARA PLANCHAR",1,,,18999,,"Cantidad","24 etiquetas",,0,,,,,,,,
1717,,"Rollo de silicona adhesiva para LEGO ® - PACK x 1. MODELO GRANDE",0,0,,860,https://etiquecosas.ar/wp-content/uploads/2020/07/packx1-rosa.jpg,"color",FUCSIA,,0,,,,,,,,
1735,,"Rollo de silicona adhesiva para LEGO ® - PACK x 3. MODELO CHICO",0,0,,1020,https://etiquecosas.ar/wp-content/uploads/2020/07/packx3-2-scaled.jpg,"color","FUCSIA - VERDE -AZUL",,0,,,,,,,,
2025,,"Etiquetas LIMPIEZA Y CUIDADO PERSONAL",1,10,,4100,https://etiquecosas.ar/wp-content/uploads/2020/07/plancha-limpieza.jpg,"Modelo",PREDETERMINADAS,,0,,,,,,,,
2077,,"Etiquetas para frascos CORONA",1,,,4101,,"SELECCIONAR OPCION",PREDETERMINADA,,0,,,,,,,,
2080,,"Etiquetas para frascos FONDO TRANSPARENTE",1,,,4104,,"SELECCIONAR OPCION",PREDETERMINADA,,0,,,,,,,,
2451,,"SELLO DE MADERA. Medida chica/mediana",1,,,8810,,"SELECCIONAR TAMAÑO","3 cm",,0,,,,,,,,
2494,,"SELLO DE MADERA. Medidas grandes",1,,,37570,,"SELECCIONAR TAMAÑO","11 cm",,0,,,,,,,,
2503,,"Almohadilla entintada para sellos de madera. 3 medidas",1,,,9690,,"SELECCIONAR MEDIDA","Micro 1 (5 x 9 cm) Para sellos hasta 5 cm",,0,,,,,,,,
3611,,"Etiquetas para identificar vasos y cubiertos NAVIDAD + Marcador",1,49,,3900,,"Cantidad","x 20 etiquetas",,0,,,,,,,,
3614,,"Etiquetas para identificar vasos y cubiertos + Marcador",1,,,5296,,"Cantidad","x 20 etiquetas",,0,,,,,,,,
11908,,"Etiquetas temáticas - LINEA ESTRELLAS",1,,,10890,https://etiquecosas.ar/wp-content/uploads/2021/07/PLANCHAS-estrellas.jpg,"Modelo","ESTRELLA BLUE",,0,,,,,,,,
12333,,"Etiquetas de vinilo PARA PLANCHAR - FUTBOL",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
